from_lang,to_lang,success,valid
java,rs,0.611764705882353,0.22745098039215686
js,rs,0.615686274509804,0.2196078431372549
go,rs,0.5411764705882353,0.23921568627450981
py,rs,0.6078431372549019,0.20392156862745098
py,c,0.5176470588235295,0.20392156862745098
js,c,0.5686274509803921,0.1607843137254902
js,go,0.4745098039215686,0.18823529411764706
rs,go,0.4666666666666667,0.17647058823529413
c,go,0.4627450980392157,0.17647058823529413
c,rs,0.49411764705882355,0.16470588235294117
cpp,rs,0.5176470588235295,0.1568627450980392
java,c,0.5411764705882353,0.13725490196078433
cpp,go,0.44313725490196076,0.1568627450980392
go,c,0.4627450980392157,0.1411764705882353
java,go,0.47058823529411764,0.13333333333333333
java,cpp,0.5686274509803921,0.10980392156862745
cpp,c,0.45098039215686275,0.13725490196078433
py,go,0.49411764705882355,0.11764705882352941
py,cpp,0.5450980392156862,0.10588235294117647
js,cpp,0.5411764705882353,0.10196078431372549
rs,c,0.4235294117647059,0.12156862745098039
c,cpp,0.4392156862745098,0.10196078431372549
rs,cpp,0.5215686274509804,0.07450980392156863
rs,java,0.2901960784313726,0.09411764705882353
go,cpp,0.5176470588235295,0.050980392156862744
js,java,0.3176470588235294,0.06666666666666667
go,java,0.21568627450980393,0.08235294117647059
cpp,java,0.2196078431372549,0.07450980392156863
py,java,0.26666666666666666,0.054901960784313725
c,java,0.2,0.054901960784313725
c,js,0.09803921568627451,0.0392156862745098
c,py,0.12156862745098039,0.027450980392156862
go,py,0.11764705882352941,0.023529411764705882
rs,js,0.08627450980392157,0.027450980392156862
py,js,0.0784313725490196,0.027450980392156862
go,js,0.0784313725490196,0.023529411764705882
js,py,0.10196078431372549,0.01568627450980392
cpp,py,0.09411764705882353,0.01568627450980392
rs,py,0.09019607843137255,0.01568627450980392
java,js,0.07450980392156863,0.01568627450980392
java,py,0.09411764705882353,0.00784313725490196
cpp,js,0.06666666666666667,0.00784313725490196
